Path,True_label,0_prop,1_prop,Pred
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (9),1,0.06875,0.93125,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (12),1,0.010033444816053512,0.9899665551839465,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (24),1,0.04666666666666667,0.9533333333333334,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (15),1,0.047619047619047616,0.9523809523809523,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (7),1,0.006329113924050633,0.9936708860759493,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (16),1,0.05454545454545454,0.9454545454545454,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (13),1,0.06484641638225255,0.9351535836177475,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (19),1,0.0,1.0,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (2),1,0.30927835051546393,0.6907216494845361,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (10),1,0.013157894736842105,0.9868421052631579,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (20),1,0.30344827586206896,0.696551724137931,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (22),1,0.08403361344537816,0.9159663865546218,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (18),1,0.2664359861591695,0.7335640138408305,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (1),1,0.053763440860215055,0.946236559139785,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (3),1,0.0,1.0,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (23),1,0.6538461538461539,0.34615384615384615,0
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (5),1,0.17391304347826086,0.8260869565217391,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (11),1,0.0,1.0,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (21),1,0.24,0.76,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (8),1,0.04602510460251046,0.9539748953974896,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (4),1,0.36283185840707965,0.6371681415929203,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (6),1,0.05027932960893855,0.9497206703910615,1
../../ICIP_denoised_data/Data_1/train/1/RawDataQA-1 (17),1,0.0,1.0,1
../../ICIP_denoised_data/Data_1/train/2/RawDataQA-2 (1),2,0.038461538461538464,0.9615384615384616,1
../../ICIP_denoised_data/Data_1/train/0/RawDataQA (10),0,0.9523809523809523,0.047619047619047616,0
